ON,$ON
FOREIGN_EXCHANGE,FOX
FOREX,FOX
FIRST_OPEN_DAY,FPD
FACILITY_PROGRAM,FPG
FUNDS_PLATFORM_INFRASTRUC,FPI
FILE_POINTERS,FPT
FRANCE,FRA
FORCED,FRC
FINAL_REDEMPTION,FRD
FREE,FRE
FAILED_RETURN_FEE,FRF
FOURTEENTH,FRH
FRIDAY,FRI
FORM,FRM
FRACTION,FRN
$FROM,FRO
FREQUENCY,FRQ
FIREWALL,FRW
FREEZE,FRZ
FROZEN,FRZ
FISCAL,FSC
FOLLOW-UP_SYSTEM_EXECUTE,FSE
FOLLOW-UP_SYSTEM_MODEL,FSM
FOLLOW-UP_SYSTEM_SCENARIO,FSS
FREESITTING,FST
FACTICE,FTC
FACTITIOUS,FTC
FILTER,FTE
FOURTH,FTH
FEE_TYPE,FTP
FILE_TRANSFER,FTR
FILE_TRANSFER_SESSION,FTS
FTP_SESSION,FTS
FUNCTIONALITY,FTY
FULL,FUL
FULL-TIME,FUL
FOLLOW_UP,FUP
FURTHER,FUR
FUTURE,FUT
FAVOUR,FVR
FORWARD,FWD
FIXED,FXD
FOREX_INSTRUCTION,FXI
GAMMA,GAM
GUARANTOR,GAR
GUARANTY,GAR
GATE,GAT
GOVERNMENT_BOND,GBD
GLOBAL_SECURITY,GBS
GENERATION_DATA_GROUP,GDG
GOOD_VALUE,GDV
GEIS,GEI
GENERAL,GEN
GEOGRAPHIC,GEO
GERMAN,GER
GERMAN_LINK,GER
GLOBAL_EXPOSURE_SYSTEM,GES
GET,GET
GAFI,GFI
GLOBAL_FAMILY,GFN
GLOBAL_FAMILY_NUMBER,GFN
GLOBAL_FORMAT,GFT
GHOST,GHT
GIVING,GIV
GLOBAL,GLB
GENERAL_LEDGER_HISTORY,GLH
GENERAL_LEDGER_INQUIRY,GLI
GREENWICH_MEAN_TIME,GMT
GENERAL_LEDGER_BALANCE,GNB
GENERAL_LEDGER,GNL
GENERATE,GNR
GENERATION,GNR
GAIN_ON_DISPOSAL,GOD
GOAL,GOL
GENERAL_PARAMETER,GPA
GEOPAC,GPC
GET_PAGE,GPG
GENERIC,GRC
GRID,GRD
GRACE,GRE
GROSS,GRO
GROUP,GRP
GRANT,GRT
GENERIC_RULE,GRU
GLOBAL_SYSTEM_FOR_MOBILES,GSM
GSM,GSM
GENERATED,GTD
GENERATOR,GTD
GATEWAY,GTW
GUARDIAN,GUA
GLOBALLY_UNIQUE,GUI
GOVERNMENT,GVT
GETWAIT,GWT
HAS,HAS
HASH_TOTAL,HAT
HIERARCHICAL,HCH
HIERARCHY,HCH
HAIRCUT,HCT
HEADER_ARCHIVE,HDA
THREE_DAYS_DELAY,HDE
HEDGE,HDG
HELP_DESK,HDK
HANDLE,HDL
HEADER,HDR
HEADING,HDR
HARDWARE,HDW
HIGHEST,HGT
HIDDEN,HID
HIGH,HIG
HIRE,HIR
HISTORIC,HIS
HISTORICAL,HIS
HISTORY,HIS
HEIGHT,HIT
HELD,HLD
HOLD,HLD
HOLDER,HLD
HOLDING,HLD
HELP,HLP
HOLIDAY,HLY
HUMAN,HMN
HUNT,HNT
HEAD_OFFICE,HOF
HOME,HOM
HOLDING_PERIOD,HPD
HURDLE,HRD
HARNESS,HRN
HOUSE,HSE
HASH,HSH
HOST,HST
HOST_TO_HOST,HTH
HYPERTEXT_MARKUP_LANGUAGE,HTM
HOUR,HUR
HORIZON,HZN
HORIZONTAL,HZN
INSTRUC_APPROVAL_DECISION,IAD
INTRA_ENTITY,IAE
INTRANET,IAN
IBAN,IBA
IBLC,IBL
INBOX,IBX
INSTRUC_COUNT_CLASSIF,ICC
INCREASING,ICG
IN_CHARGE,ICH
INTERNAL_CLEARING_INSTRUC,ICI
INCLUDE,ICL
INCLUDED,ICL
INCOMING_MESSAGE,ICM
TANDEM_SEQUENCE_NUMBER,ICN
INCOME,ICO
ICCP,ICP
INCREASE,ICR
INCREMENT,ICT
#IDENTIFICATION,ID
INDICATOR,IDC
INDICATION,IDD
INSIDE,IDE
IDENTIFICATION,IDF
INDIRECT,IDR
INDEX,IDX
INDEXED,IDX
INDEXING,IDX
INTERNET,IEN
INCOME_EVENT,IEV
INFOCENTRE,IFN
IN_FAVOR_OF,IFO
INFERIOR,IFR
IGNORE,IGN
INTEGRITY,IGY
INHIBIT,IHB
INHOUSE,IHS
INHERIT,IHT
INHERITANCE,IHT
INTENDED_INTERNAL_EXECUT,IIE
IT_INFRASTRUCTURE_LIBRARY,IIL
ITIL,IIL
INTERNET_INFO_SERVER,IIS
ILLNESS,ILS
INDEMNIFICATION,IMF
IMAGE,IMG
INCOMING,IMG
IMMEDIATE,IMM
IMPACT,IMP
INTERMEDIATE,IMT
INTERMEDIARY,IMY
INITIALIZATION,INA
INITIALIZE,INA
INCLUSION,INC
INDUSTRY,IND
INTENDED,INE
INFORMATION,INF
INTEGRATED,ING
INITIAL_HOLDER,INH
INITIAL,INI
INTERNAL,INL
INSTRUMENT,INM
INTRODUCTION,INN
INCORPORATION,INO
INPUT,INP
INQUIRE,INQ
INQUIRY,INQ
INSTRUCTED,INR
INSTRUCTION,INR
INSERT,INS
INTERNATIONAL,INT
INSTITUTION,INU
INVENTORY,INV
IOCA,IOC
INITIATOR,IOR
IN_OUT,IOT
INTERNET_PROTOCOL_ADDRESS,IPA
IP_ADDRESS,IPA
INTEREST_PERIOD_END_DATE,IPD
IAPG,IPG
IMPLEMENTATION,IPM
INCEPTION,IPN
INTER-PROCESS,IPR
INTERRUPT,IPT
INTERVENING_PARTY,IPY
INTERNAL_QUOTATION,IQU
#INTEREST_RATE,IR
INSTRUCTION_DECISION,IRD
INTER-ENTITY,IRE
IRREGULAR,IRG
IRELAND,IRL
IRISH,IRL
IREM,IRM
ITR_REVENUE_EXPENSE_MODEL,IRM
INSTRUCTING_PARTY,IRP
INTEREST_RATE,IRR
INTERNAL_REVENUE_SERVICE,IRS
INDEX_RATE,IRT
INSTANCE,ISC
INSUFFICIENT,ISF
INSTRUCTING,ISG
INSTALLATION,ISL
ISIN,ISN
INTL_STANDARDS_ORG,ISO
ISO,ISO
ISSUER,ISR
ISSUABLE,ISS
ISSUANCE,ISS
ISSUE,ISS
ISSUED,ISS
ISSUING,ISS
INTERNAL_STATUS,IST
INSURANCE,ISU
INTEREST_SWAP,ISW
INTRA_DAY,ITD
INTERFACE,ITF
INTEGER,ITG
IN_TRANSIT,ITI
ITALIAN,ITL
ITEM,ITM
ITERATION,ITN
INTERPOLATION,ITP
INTEREST,ITR
INTENSITY,ITS
INTERTEST,ITT
INTERVAL,ITV
IN_USE,IUS
INVOICE,IVC
INVOLVED,IVD
INITIATIVE,IVE
INVESTIGATOR,IVG
INVOCATION,IVK
INVALID,IVL
INTERVENTION_MACRO,IVM
INTERVENTION,IVN
INVESTOR,IVS
INVITATION,IVT
INVESTMENT,IVV
INSTRUC_WAITING_DECISION,IWD
INDUSTRY_CLASSIFICATION,IYC
JANUARY,JAN
JAPAN,JAP
JOB_PROCESSING,JBP
JOBSET,JBS
JOB_CONTROL_LANGUAGE,JCL
JOB_ENTRY_SUBSYSTEM,JES
JULIAN,JLN
JOB,JOB
JPMORGAN,JPM
JOURNAL,JRL
JULY,JUL
JUNE,JUN
JURISDICTION,JUR
JUSTIFICATION,JUS
KAPPA,KAP
KILOBYTE,KBT
KEEP,KEP
KEY,KEY
KEYED,KEY
KERNEL,KNL
KODAK,KOD
KASSEVEREIN,KSV
KEYWORD,KWD
LABEL,LAB
LOCAL_AREA_NETWORK,LAN
LASER,LAS
LATE,LAT
LATER,LAT
LAUNCH,LAU
LAUNCHING,LAU
LENDABLE_BORROWABLE,LBB
LENDING_AND_BORROWING,LBG
LIFECYCLE_BEHAVIOUR,LBH
LENDING_BORROWING_OPTION,LBO
LIBRARY,LBR
LOCAL_CURRENCY,LCC
LATCH,LCH
LOCAL,LCL
LOCATE,LCT
LENDABLE,LDB
LENDING,LDG
LONDON,LDN
LENDER,LDR
LAST_DAY,LDY
LEAD,LEA
LEADER,LEA
LEADING,LEA
LINK_EVENT_DATE,LED
LEFT,LEF
LEGACY,LEG
LENGTH,LEN
LENT,LET
LEVEL,LEV
LOAD_EXPECT,LEX
LIFECYCLE,LFC
LIFETIME,LFT
LEGAL_FORM,LGF
LANGUAGE,LGG
LOGICAL,LGI
LEGAL,LGL
LOGON,LGN
LOGICAL_GROUP,LGP
LIMIT,LIM
LIMITATION,LIM
LIMITED,LIM
LINE,LIN
LAST_INCOME_PAYMENT,LIP
LIQUIDITY,LIQ
LINK_INSTR_REPAIR,LIR
LIST,LIS
LISTING,LIS
LATEST_INPUT_TIMESTAMP,LIT
LOCK,LKD
LOCKED,LKD
LOCKING,LKG
LAST_KNOWN,LKN
LOCK_UP,LKP
LOCAL_REPORTING,LLR
LOAD_MODULE_BATCH,LMB
LEAD_MANAGER,LMG
LOAD_MODULE_ON-LINE,LMO
LAST_MONTH,LMT
LEND,LND
LONG,LNG
LINK,LNK
LINKAGE,LNK
LINKED,LNK
LISTENER,LNR
LINES,LNS
LINK_SYSTEM_TEST,LNT
LOAN,LOA
LOCATION,LOC
LOAD,LOD
LOG,LOG
LOGGING,LOG
LOOP,LOP
LOW,LOW
LAST_OPEN_DAY,LPD
LIQUIDATION,LQT
LAST_QUOTATION_UPDATE,LQU
LARGE,LRG
LIMITED_RIGHTS,LRI
LAST_REPORTED_NARRATIVE,LRN
LEGAL_REPRESENTATIVE,LRP
LOG_REQUEST,LRQ
LAST_REPORTED_REPORT,LRR
LOCAL_SETTLEMENT_DATE,LSA
LINKED_SECURITY,LSC
LOSS_ON_DISPOSAL,LSD
LOOSE,LSE
LOSS,LSS
LAST,LST
LIFETIME_AVERAGE,LTA
LITTERAL,LTL
LONG_TERM,LTM
LATE_PAYMENT,LTP
LETTER,LTR
LATEST,LTS
LAST_UPDATE,LUP
LOTUS,LUS
LUXEMBOURG,LUX
LIVE,LVE
LEAVER,LVR
LOWER,LWR
LOWEST,LWS
LAST_YEAR,LYR
LAYOUT,LYT
MEMORANDUM_ACCOUNT,MAC
MAXIMUM_NUMBER_DAYS,MAD
MKT_SEGMENTATION_CRI,MAE
MATHEMATICAL,MAH
MAIN,MAI
MAJOR,MAJ
MAJORITY,MAJ
MAXIMUM_NUMBER_MONTHS,MAM
MAXIMUM_OCCURRENCE,MAO
MAP,MAP
MAPPING,MAP
MARGIN,MAR
MARKET_SEGMENTATION,MAS
MATURITY,MAT
MONTHLY_AVERAGE,MAV
MAXIMUM,MAX
MAY,MAY
MOBILE,MBI
MODIFY_BACKLOG,MBL
MEMBER,MBR
MAILBOX,MBX
MARKET_CLAIM_DETECTION,MCD
MATCHED,MCH
MATCHING,MCH
MACHINE,MCN
MACRO,MCO
MATCHING_RESULT,MCR
MONTHLY_COST,MCS
MAXIMUM_CREDIT_USE,MCU
MONTH_TO_DATE,MDA
MEDICAL,MDC
MODE,MDE
MODIFICATION,MDF
MODIFIED,MDF
MODELLI,MDI
MODULE,MDL
MODEM,MDM
MODULATOR-DEMODULATOR,MDM
MODIFIER,MDR
MANDAY,MDS
MANDAYS,MDS
MANDATORY,MDT
MEDIUM_TERM,MDT
MONTH_TO_DATE_AVERAGE,MDV
MOODY,MDY
MEASURE,MEA
MEDIUM,MED
MEMORANDUM,MEM
MENU,MEN
MESSAGE,MES
MEETING,MET
MEETING_PERIOD,MET
MICROFILM,MFL
MAINFRAME,MFR
MINI_FORMAT,MFT
MIGRATION,MGN
MORGAN_GUARANTY_TRUST_CO,MGT
MEGAHERTZ,MHZ
MIAM,MIA
MICROFICHE,MIC
MINIMUM_NUMBER_DAYS,MID
MIDDLE,MIE
MAIL,MIL
MAILING,MIL
MINIMUM_NUMBER_MONTHS,MIM
MINIMUM,MIN
MINIMUM_OCCURRENCE,MIO
MIPA,MIP
MANAGEMENT_INTEREST_RATES,MIR
MNGT_INFORMATION_SYSTEM,MIS
MARKET_CLAIM,MKC
MARKETING,MKG
MARKER,MKR
MARKET,MKT
MARKET_UPDATE,MKU
MARKET_VALUE,MKV
MULTICURRENCY,MLC
MULTIPLICATION_FACTOR,MLF
MULTIPLE,MLT
MULTIPLY,MLT
MULTI-VALUE,MLV
MULTI-VALUED,MLV
MONEY_MARKET,MMK
MEMO,MMO
MOMENT,MMT
MANAGED,MNG
MANAGEMENT,MNG
MANAGER,MNG
MANUAL,MNL
MNEMONIC,MNM
MONITORING,MNR
MEANS,MNS
MAINTAIN,MNT
MAINTENANCE,MNT
MANUAL_UPDATE,MNU
MONEY,MNY
MOST_ACTIVE,MOA
MODEL,MOD
MSG_ORIENTED_MIDDLEWARE,MOM
MONDAY,MON
MORNING,MOR
MQ_SERIES,MQS
MARCH,MRC
MERGE,MRG
MARITAL,MRL
MULTILATERAL_REPO_NETTING,MRN
MARP,MRP
MAINTENANCE_REQUEST,MRQ
MIRROR,MRR
MARGIN_VALUE,MRV
MONTHLY_REVENUE,MRY
MESSAGE_ARCHIVE,MSA
MISCELLANEOUS,MSC
MISSED,MSI
MISSING,MSI
MASKING,MSK
MAESTRO,MSO
MESSAGE_QUEUE,MSQ
MASS,MSS
MASTER,MST
META,MTA
META-DATA,MTA
MATRICULE,MTC
METHOD,MTD
MONTH_END,MTE
MONTH,MTH
MONTHLY,MTH
MONEY_TRANSF_INSTRUCTION,MTI
MARK_TO_MARKET,MTM
MONEY_TRANSFER,MTR
MINUTES,MTS
MATRIX,MTX
MIDNIGHT_UNBLOCKING,MUB
MULTI,MUL
MOVING,MVG
MVS,MVS
MOVEMENT,MVT
MAINFRAME_WORKBENCH,MWB
#NEXT_AMOUNT,NA
NON_ALLOCATED_NEW_BORROW,NAB
NOT_ACKNOWLEDGEMENT,NAK
$NAME,NAM
NASDAQ,NAQ
NARRATIVE,NAR
NOTICE_ARCHIVING_SYSTEM,NAS
NATIONAL,NAT
NATIONALITY,NAT
NET_ASSET_VALUE,NAV
#NUMBER,NB
NATIONAL_BANKING,NBB
NON_BENEFICIAL,NBF
NEW_BORROWING,NBO
$NUMBER,NBR
NOT_CEDEL_NOT_AKV,NCA
NATIONAL_CENTRAL_BANK,NCB
NCB,NCB
NACE,NCE
NON_CHARGEABLE,NCG
NOT_COLLATERELIZED,NCO
NOMINAL_CURRENCY,NCU
NEEDED,NDD
NEEDS,NDS
NEGATIVE,NEG
NETWORK_EXPENSE,NEP
NETT,NET
NETTED,NET
NETTING,NET
NEW,NEW
NEGATIVE_DEPENDENCY,NGD
NEGOCIANT,NGO
NEW_IBLC,NIB
NET_INTEREST_EARNING,NIE
NEXT_INCOME_PAYMENT,NIP
NEXT_INTEREST_RATE,NIR
NEW_ISSUE,NIS
NEW_ISSUES_TOOL,NIT
NETHERLANDS_LOCAL_ACCOUNT,NLA
NEAR_LEG,NLE
#NAME,NM
NON_MAILBOX,NMB
NOMINEE,NME
NORMAL,NML
IN_NAME_OF,NMO
NEXT_MONTH,NMT
NOMINAL_VALUE,NNV
NODE,NOD
NOMINAL,NOM
NON,NON
NON_ORDER,NOO
NON_OPERATING,NOP
NOT_RECONCILED,NOR
NOSTRO,NOS
NOT,NOT
NOVEMBER,NOV
NON_PERFORMING,NPE
NONQUALIFIED_INTERMEDIARY,NQI
NON_RESIDENT_ALIENS,NRA
NON_RECOVERABLE,NRE
NOSTRO_SCHEME,NSS
NEAREST,NST
NOTICE,NTC
NOTE,NTE
NOTES,NTE
NOTIFICATION,NTF
NOTIFIED,NTF
NORTH,NTH
NOTIONAL,NTL
NINTH,NTN
NOT_SCHEME,NTS
NOTIFICATION_TYPE,NTT
NATURE,NTU
NATIVE,NTV
NULL,NUL
NUMERIC,NUM
NOT_VALIDATED,NVA
NETWORK,NWK
NORWEGIAN,NWN
NEWS,NWS
NO_WAIT,NWT
NEXT,NXT
NEW_YORK,NYK
NEW_ZEALAND,NZD
OBLIG_ASSIMIL_DU_TRESOR,OAT
OBSERVED,OBD
OBLIGATION,OBG
OBJECT,OBJ
OUTBOUND_LINK,OBL
OBLIGATION_TO_PARTICIPANT,OBP
OBSERVER,OBR
OBSERVATION,OBS
OBTAINED,OBT
OCCURRENCE,OCC
ON_CALL,OCL
OVER_THE_COUNTER,OCN
OPTICAL_CHAR_RECOGNITION,OCR
OCTOBER,OCT
ONE_DAY_DELAY,ODE
ORDINARY,ODY
OFFICIAL,OFC
OFFER,OFE
OFFERING,OFE
OFF,OFF
OFFICE,OFF
OFFLOAD,OFL
OFFLOADED,OFL
OFF_MARKET,OFM
OFFICER,OFR
OFFSET,OFT
ORIGIN_GROUP,OGG
OUTGOING_MESSAGE,OGM
#OBJECT_HOLDER,OH
#OBJECT_IDENTIFICATION,OI
OICS,OIC
OBJECTIVE,OJV
OK,OKY
OLD,OLD
ON_LINE,OLI
OBLIGATION_LIN_OBLIGATIE,OLO
ONE,ONE
ONLY,ONL
ONLINE_NEWS_MESSAGE,ONM
ON_STATEMENT,ONS
OUT_OF_BUFFERPOOL,OOB
OUT_OF_POCKET_EXPENSE,OOP
OPICS,OPC
OPERAND,OPD
OPEN,OPE
OPENING,OPE
OPERATING,OPI
OPTIMIZATION,OPM
OPERATION,OPN
OPPOSITION,OPP
OPERATOR,OPR
OPERATIONAL,OPS
OPTION,OPT
OPTIONAL,OPT
OPPORTUNITY,OPY
ONLINE_REPORTING_ARCHITEC,ORA
ORDER,ORD
ORGANIZATION,ORG
ORGANIZATIONAL,ORG
ORGANIZING,ORG
ORIGIN,ORI
ORIGINATING,ORI
ORIGINATOR,ORI
ORIGINAL,ORN
ORGANISM,ORS
ORIGIN_TRANSLATION,ORT
OUTSTANDING_AMOUNT,OSA
OUTSTANDING_BORROWED,OSB
OUTSTANDING_LENT,OSL
ORDER_SEQUENCER,OSQ
OUTSTANDING,OST
OUTBOUND,OTB
ONE_TIME_CERTIFICATE,OTC
OUTGOING,OTG
OTHER,OTH
ON_TIME,OTI
OUT,OUT
OUTPUT,OUT
OVERALL,OVA
OVERDRAFT,OVD
OVERFLOW,OVF
OVERLAP,OVL
OVERNIGHT,OVN
OVER,OVR
OVERRIDE,OVR
OVERTIME,OVT
OVERVIEW,OVW
OWN_ACCOUNT,OWA
OWNERSHIP,OWN
OWNING,OWN
OWNER,OWR
OTHER_EXTEND,OXN
ONE_YEAR_ACCEPTED,OYA
PAYING_AGENT,PAE
PAGE,PAG
PATH,PAH
PARTICIPANT_AND_INTERNAL,PAI
PATTERN,PAN
PAPER,PAP
PARTICIPANT,PAR
PARTICIPATION,PAR
PART,PAT
PAYING,PAY
PUBLIC,PBC
PUBLISH,PBH
PUBLISHED,PBH
PUBLICATION,PBL
PROBATION,PBN
PROCEED_BULK_PAYMENT,PBP
PABX,PBX
POSSIBILITY,PBY
POSSIBLE,PBY
PROBABILITY,PBY
PROCEED,PCD
PRICE,PCE
PARAMETER_CONTROL_FILE,PCF
PURCHASE,PCH
PURCHASER,PCH
PACK,PCK
PACKAGE,PCK
PROD_CONTROL_LANGUAGE,PCL
PERSONAL_COMPUTER,PCM
PELICAN,PCN
PRE-COMPILE,PCP
PROCEDURE,PCR
PRECISION,PCS
PERCENTAGE,PCT
POLICY,PCY
PCDACS,PDA
PREDICTED,PDC
PRE-DEFINED,PDD
PRICE_DIFFERENTIAL,PDF
POSSIBLE_DUPLICATE_MES,PDM
PRODUCTION,PDN
PREDECESSOR,PDR
PARTICIPANT_DATA_SYSTEM,PDS
PROCESSED_ON_TIME,PDT
PRERELEASE,PEA
PERIOD_END,PED
PLEDGEE,PEE
PREFERENCE,PEF
PREFERENTIAL,PEF
PEAK,PEK
PERMANENT,PEM
PER,PER
PERIOD,PER
PRESENCE,PES
PRESENT,PET
PREDICTED_EXPOSURE,PEX
PROMOTION_FALLBACK,PFB
PREFETCH,PFH
PREADVICE_OF_FUNDS_INPUT,PFI
PFKEY,PFK
$PROFILE,PFL
PERFORMANCE,PFM
PERFORMING,PFM
PROFIT,PFT
PROBLEM_FOLLOW_UP,PFU
PROGRAM_ENTRY,PGE
PARAGRAPH,PGH
PROGRAM,PGM
PROGRESS,PGR
PAGESET,PGS
PHASE,PHA
PHASED,PHA
PHYSICAL_DATASET,PHD
PHYSICAL_FORM,PHF
PHYSICAL,PHY
PHASE_THREE,PH3
PIECE,PIC
PAID,PID
PRODUCTION INTEGRATION,PIG
PRIME,PIM
PERSONAL_ID_NUMBER,PIN
PIN,PIN
PRIOR,PIR
PIVOT,PIV
PROJECTION,PJT
PRIMARY_KEY,PKE
PUBLIC_KEY_INFRASTRUCTURE,PKI
PICK-UP,PKP
PICKUP,PKP
PLAN,PLA
PROFIT_LOSS_BALANCE,PLB
PLACEMENT,PLC
PLEDGED,PLD
PLACE,PLE
PLATFORM,PLF
PLEDGING,PLG
PROFIT_LOSS_HISTORY,PLH
PARALLEL,PLL
PARALLELIZATION,PLL
PROFIT_LOSS_MOVEMENT,PLM
PLANNED,PLN
PLANNING,PLN
PLEDGOR,PLO
PROPOSAL_RECEIPT,PLR
PROFIT_LOSS_UNIT,PLU
PRODUCT_LEVEL,PLV
PREMATCHING,PMC
PREVIOUS_MONTH,PMH
PAGEMAKER,PMK
PREMIUM,PMM
PARAMETER,PMR
PRIMARY_STND_PARTY_NUMBER,PMS
PERMITTED,PMT
PARAMETER_VALUE,PMV
#PROPORTION,PN
POINT_A,PNA
POINT_C,PNC
PENDING_DELIVERY,PND
PREDICTED_NETTED_EXPOSURE,PNE
PENDING,PNG
POTENTIAL,PNL
PARENT,PNT
PANVALET,PNV
POWER_OF_ATTORNEY,POA
POST_OFFICE_BOX,POB
POINT,POI
PERSISTENT_OBJECT,POJ
PROTOCOL,POL
PROPOSITION,PON
POOL,POO
POPULATION,POP
PORTFOLIO,POR
POSITION,POS
POSITIONED,POS
POSITIONING,POS
PORT,POT
POST_OVERNIGHT,POV
PARTICIPANT_PARAMETER,PPA
PREPROCESSING,PPC
PROPOSAL,PPL
PRESCRIPTION,PPN
PRE-APPROVED,PPP
PARI_PASSU,PPS
PROPERTY,PPT
PREPAID,PPY
PERMANENT_QUEUE_EDIT,PQE
PQ_EDIT,PQE
#PRICE,PR
PRACTICE,PRA
PROBLEM,PRB
PROCESS,PRC
PROCESSED,PRC
PRODUCT,PRD
PREADVICE,PRE
PREFIX,PRF
PURGE,PRG
PRIORITY,PRI
PROJECT,PRJ
PROFIT_LOSS,PRL
PRIMARY,PRM
PRINCIPAL,PRN
PROCESSING,PRO
PREPARATION,PRP
PREPARED,PRP
PREREQUISITE,PRQ
PRO_RATA,PRR
PERSONAL,PRS
PRINT,PRT
PRINTED,PRT
PRINTER,PRT
PRINTING,PRT
PRIVATE,PRV
PROXIMITY,PRX
PERSISTENCE,PSC
PROPOSED,PSD
PARTICIPANT_SECURITY,PSE
PC_SHEET,PSH
PRE-SELECTED,PSL
PRE-SELECTION,PSL
PRESENTATION,PSN
PERSON,PSO
PROSPECTUS,PSP
PARSER,PSR
POST,PST
POSTAL,PST
POSITIVE,PSV
#PERCENTAGE,PT
PROCESSING_TOOL_PARAMETER,PTA
PROTECTION,PTC
POSTED,PTD
PARTNER,PTE
PRICE_TYPE_GROUP,PTG
PARENTHESIS,PTH
PARTIAL,PTL
PRO_RATA_REDEMPTION,PTM
PARTITION,PTN
PUT_OPTION,PTO
PRICE_TYPE,PTP
POINTER,PTR
PARTY,PTY
PSEUDO_TERMINAL_3,PT3
PUK,PUK
PURPOSE,PUR
PUT,PUT
PAR_VALUE,PVA
PROVISIONAL_CREDIT,PVC
PREVIOUS_DAY,PVD
PROVINCE,PVE
PROVIDED,PVI
PROVIDER,PVI
PRIVILEGE,PVL
PREVIOUS_MONTHS,PVM
PROVISIONAL,PVN
PREVIOUS,PVS
PREVENTION,PVT
PASSWORD,PWD
PREADVICE_EXTEND,PXN
PROXY,PXY
PAYMENT_CURRENCY,PYC
PAYROLL,PYL
PAYMENT,PYM
PARTY_ROLE,PYR
QUARTER_AVERAGE,QAV
QUALITY_CONTROL,QCL
QUOTATION_CONTROL,QCT
QUARTER_DAY_AVERAGE,QDA
QUALIFIER,QFR
QUALIFIED,QLF
QUALITY,QLY
QUARTER,QRT
QUARTERLY,QRT
QUERY,QRY
QUESTION,QST
QUARTER_END,QTE
QUANTITY,QTY
QUALIFICATION,QUA
QUEUE,QUE
QUICK,QUI
QUOTATION,QUO
QUOTED,QUO
QUIESCING,QUS
RAC_FUNCTION,RAC
RADICAL,RAD
RAISE,RAI
RACK,RAK
RETAIL,RAL
RANDOM_ACCESS_MEMORY,RAM
REPORTING_ARCHITECTURE,RAR
RATE,RAT
RELATIVE_BYTE_ADDRESS,RBA
REBALANCING,RBL
REBOOT,RBT
RISK_CONC_ANALYSIS,RCA
REGISTRY_OF_COMMERCE_BRU,RCB
RECORD_DATE,RCD
RECONCILE,RCE
RECONCILIATION,RCE
RACF,RCF
REACHED,RCH
RECLASSIFICATION,RCL
RECLAIM,RCM
RECOMMENDATION,RCN
RETROCESSION,RCO
RECIPIENT,RCP
REPORTING_CURRENCY,RCR
RECEIPT,RCT
REPORTING_CURRENCY_ONE,RCU
RECEIVABLE,RCV
RECEIVE,RCV
RECEIVED,RCV
RECEIVER,RCV
RECEIVING,RCV
REPORTING_CURRENCY_TWO,RCW
RECYCLE,RCY
RECYCLING,RCY
FIRST_REPORTING_CURRENCY,RC1
SECOND_REPORTING_CURRENCY,RC2
RECORD_DATE_BALANCE,RDB
RENDITION,RDI
REDEEMABLE,RDM
REDENOMINATED,RDN
REDENOMINATION,RDN
REDEMPTION,RDP
REDEPOSIT,RDS
RUN_DATE,RDT
RADIANZ,RDZ
REAL,REA
REBATE,REB
RECORD,REC
RECORDED,REC
RECORDING,REC
REDUCED,RED
REDUCTION,RED
READ,REE
REFERENCE,REF
REGION,REG
REINVESTMENT,REI
REJECT,REJ
REJECTED,REJ
REJECTION,REJ
RELATIONSHIP,REL
RELATIVE,REL
REMARK,REM
RENT,REN
RECTO,REO
REPAYMENT,REP
REQUEST,REQ
REQUESTED,REQ
RERUN,RER
RESIDENCE,RES
RESIDENCY,RES
RETENTION,RET
REVERSAL,REV
REFERENCE_ACCOUNT,RFA
RABL_FLAT_FEE,RFF
REFRESH,RFH
RECEIPT_FINAL_INFO,RFI
REFUND,RFN
RISK_FREE,RFR
REFUSAL,RFS
REFUSED,RFS
REORGANIZE,RGE
RIGHT,RGH
RIGHTS,RGH
REGULAR,RGL
REGULATION,RGL
RESIGNATION,RGN
REGROUP,RGR
REGISTERED,RGS
REGISTRAR,RGS
REGISTRATION,RGS
REHIRE,RHR
REMOTE_INSIDE_BOARD,RIB
RID,RID
RE-INJECT,RIJ
REIMBURSED,RIM
REIMBURSEMENT,RIM
RECEIPT_INSTRUCTION,RIN
REISSUE,RIS
REINSTATE,RIT
REKEY,RKY
REKEYED,RKY
RELATED_CODE,RLC
RELOAD,RLD
RELEASE,RLE
RELEASED,RLE
RECALL,RLL
REALIGNMENT,RLM
REALIGNMENT_IN,RLM
RELATION,RLN
RELATIONAL,RLN
REPLICATION,RLO
RELATED,RLT
ROLLOUT,RLU
RELEVANT,RLV
REALIZED,RLZ
REMAINING,RMA
REMINDER,RMD
REMINDING,RMD
RISK_MANAGEMENT,RMG
REMUNERATION,RMN
REMOTE,RMO
ROADMAP,RMP
REALIGNMENT_MNGT_SYSTEM,RMS
SEC_REALIGNM_TRANS,RMT
REMOVED,RMV
REPORT_MATRIX,RMX
ROUND,RND
ROUNDED,RND
ROUNDING,RND
RANGE,RNG
RANK,RNK
RANKING,RNK
ROUTING_DESCRIPTION,ROD
REPORT_OF_IRREGULARITY,ROI
ROLE,ROL
REOPENING,ROP
ROUTING_QUESTION,ROQ
ROUTER,ROR
ROUTING,ROR
ROUTING_SCRIPT,ROS
ROOT,ROT
ROUTINE,ROU
ROLLOVER,ROV
ROW,ROW
REPAIR,RPA
